Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Mouser Price/Stock,Mouser Part Number,Manufacturer_Name,Height,RS Price/Stock,RS Part Number,Manufacturer_Part_Number,Field10,Field8,Field9,Field4,Field7,Field6,Field5
35,"ESP8266 ESP-12E module, 22 pins, 2mm, PCB antenna",ESP-12E,U2,ESP-12E,ESP-12E_SMD,1,http://l0l.org.uk/2014/12/esp8266-modules-hardware-guide-gotta-catch-em-all/,,,,,,,,,,,,,,
36,"3A low dropout linear regulator, adjustable output, TO-263",MIC29302WU,U1,MIC29302WU,TO-263-5_TabPin3,1,http://ww1.microchip.com/downloads/en/devicedoc/20005685a.pdf,,,,,,,,,,,,,,
37,"ARM Cortex-M3 MCU, 128KB flash, 20KB RAM, 72MHz, 2-3.6V, 51 GPIO, LQFP-64",STM32F103RBTx,U3,STM32F103RBTx,LQFP-64_10x10mm_P0.5mm,1,http://www.st.com/st-web-ui/static/active/en/resource/technical/document/datasheet/CD00161566.pdf,,,,,,,,,,,,,,
38,"Bidirectional ESD Protection Diode, SOT-23-6",USBLC6-2SC6,U6,USBLC6-2SC6,SOT-23-6,1,http://www2.st.com/resource/en/datasheet/CD00050750.pdf,,,,,,,,,,,,,,
39,,MC-306_32.7680K-A5__ROHS-32.768KHz_crystals_smd-Door_Locking-rescue,Y3,32.768Khz,Crystal_SMD_SeikoEpson_MC306-4Pin_8.0x3.2mm,1,MC-306 32.7680K-A5: ROHS,,,,,,,,,Crystal 32.7680 Khz 12.5pf Smd,,EPSON,Unavailable,None,4-4 Epson
40,,LFXTAL003237-8MHz_smd_crystal-Door_Locking-rescue,Y4,8mhz,Crystal_HC49-U_Vertical,1,Unavailable,,,,,,,,,LFXTAL003237,,HC49/4HSMX Series 16.000 MHz ±30 ppm 16 pF Low Profile Surface Mount Crystal,None,IQD Frequency Products,HC-49/US IQD Frequency Products





Component Groups:,40
Component Count:,74
Fitted Components:,74
Number of PCBs:,1
Total components:,74
Schematic Version:,
Schematic Date:,
PCB Variant:,[u'default']
BoM Date:,11/27/2020 7:10:34 PM
Schematic Source:,ULTRASONIC PCB.sch
KiCad Version:,Eeschema (5.1.5)-3
